reads_type,matched_percentage_g,matched_percentage_rc
ID,0.9996481,0.9996481
CG_IL,0.9999599,0.9999599
IG,0.7962293,0.3089831
IT1,0,0
IT2,0,0
MM,0.8732616,0.4016952
