reads_type,matched_percentage_g,matched_percentage_rc
ID,0.9842342,0.9842342
CG_IL,0.9723522,0.9723522
IG,0.3334963,0.5919315
IT1,0,0
IT2,0,0
MM,0.1359177,0.1379941
