,tool,sampID,repType,cpu,ram,utime
0,hisat2,ERR009308,g,1.1167,0.004257,1.049598
1,hisat2,ERR009308,rc,1.3111,0.004257,1.230937
2,hisat2,ERR009308,sh1,0.9677,0.004257,0.913906
3,hisat2,ERR009308,sh2,0.9211,0.004257,0.872478
4,hisat2,ERR009308,sh3,1.123,0.004257,1.042094
5,hisat2,ERR009308,both1,1.4059,0.004257,1.294722
6,hisat2,ERR009308,both2,1.3222,0.004257,1.244704
7,hisat2,ERR009308,both3,1.0634,0.004257,1.020286
8,hisat2,ERR009309,g,0.8847,0.004257,0.787948
9,hisat2,ERR009309,rc,1.1454,0.004257,1.003224
10,hisat2,ERR009309,sh1,0.7435,0.004257,0.709944
11,hisat2,ERR009309,sh2,0.8965,0.004267,0.817469
12,hisat2,ERR009309,sh3,0.6779,0.004257,0.611391
13,hisat2,ERR009309,both1,1.3248,0.004257,1.092008
14,hisat2,ERR009309,both2,0.6879,0.004257,0.638666
15,hisat2,ERR009309,both3,0.6734,0.004257,0.628035
16,hisat2,ERR009332,g,0.7887,0.004257,0.764211
17,hisat2,ERR009332,rc,0.5566,0.004257,0.547747
18,hisat2,ERR009332,sh1,0.6075,0.004257,0.582287
19,hisat2,ERR009332,sh2,0.5677,0.004257,0.551779
20,hisat2,ERR009332,sh3,0.7255,0.004257,0.652873
21,hisat2,ERR009332,both1,0.6276,0.004257,0.612304
22,hisat2,ERR009332,both2,0.6415,0.004257,0.62247
23,hisat2,ERR009332,both3,0.6323,0.004257,0.617504
24,hisat2,ERR009345,g,0.6412,0.004257,0.614395
25,hisat2,ERR009345,rc,1.3898,0.004257,1.334291
26,hisat2,ERR009345,sh1,0.9497,0.004257,0.898088
27,hisat2,ERR009345,sh2,0.9246,0.004257,0.88888
28,hisat2,ERR009345,sh3,0.948,0.004257,0.901892
29,hisat2,ERR009345,both1,1.1619,0.004257,1.093439
30,hisat2,ERR009345,both2,1.1054,0.004257,1.055008
31,hisat2,ERR009345,both3,1.1227,0.004257,1.079114
32,hisat2,ERR013101,g,0.4748,0.004257,0.444615
33,hisat2,ERR013101,rc,0.5629,0.004257,0.533767
34,hisat2,ERR013101,sh1,0.6677,0.004257,0.59964
35,hisat2,ERR013101,sh2,0.4749,0.004257,0.445085
36,hisat2,ERR013101,sh3,0.4362,0.004257,0.421992
37,hisat2,ERR013101,both1,0.5615,0.004257,0.536167
38,hisat2,ERR013101,both2,0.5603,0.004257,0.537809
39,hisat2,ERR013101,both3,0.5601,0.004257,0.524926
0,subread,ERR009308,g,0.6954,0.004257,0.661612
1,subread,ERR009308,rc,0.8889,0.007678,0.791567
2,subread,ERR009308,sh1,0.7057,0.007664,0.673529
3,subread,ERR009308,sh2,0.8309,0.007664,0.780244
4,subread,ERR009308,sh3,0.7919,0.007678,0.756424
5,subread,ERR009308,both1,0.8252,0.007678,0.790051
6,subread,ERR009308,both2,0.6098,0.007678,0.595325
7,subread,ERR009308,both3,0.6243,0.007664,0.604179
8,subread,ERR009309,g,0.6718,0.007678,0.629003
9,subread,ERR009309,rc,0.6542,0.007644,0.626837
10,subread,ERR009309,sh1,0.5773,0.007631,0.558588
11,subread,ERR009309,sh2,0.6902,0.007644,0.652209
12,subread,ERR009309,sh3,0.6973,0.007644,0.658374
13,subread,ERR009309,both1,0.6627,0.007644,0.631431
14,subread,ERR009309,both2,0.6799,0.007631,0.648416
15,subread,ERR009309,both3,0.596,0.007644,0.574462
16,subread,ERR009332,g,0.6878,0.007644,0.656629
17,subread,ERR009332,rc,0.6905,0.007644,0.656032
18,subread,ERR009332,sh1,0.7195,0.007644,0.665004
19,subread,ERR009332,sh2,0.7191,0.007644,0.649684
20,subread,ERR009332,sh3,0.6875,0.007631,0.656944
21,subread,ERR009332,both1,0.6444,0.007644,0.616437
22,subread,ERR009332,both2,0.6865,0.007644,0.637994
23,subread,ERR009332,both3,0.7377,0.007631,0.684946
24,subread,ERR009345,g,1.0755,0.007631,0.996784
25,subread,ERR009345,rc,1.1375,0.00775,1.070781
26,subread,ERR009345,sh1,1.1099,0.00775,1.016653
27,subread,ERR009345,sh2,1.0985,0.007752,1.024639
28,subread,ERR009345,sh3,1.1956,0.00775,1.052395
29,subread,ERR009345,both1,0.8184,0.007752,0.788649
30,subread,ERR009345,both2,1.0204,0.00775,0.955901
31,subread,ERR009345,both3,1.1439,0.00775,1.050078
32,subread,ERR013101,g,0.6529,0.00769,0.589779
33,subread,ERR013101,rc,0.5934,0.007645,0.554216
34,subread,ERR013101,sh1,0.5385,0.00765,0.518062
35,subread,ERR013101,sh2,0.6026,0.007645,0.561352
36,subread,ERR013101,sh3,0.5883,0.00765,0.558234
37,subread,ERR013101,both1,0.6201,0.00765,0.583381
38,subread,ERR013101,both2,0.5117,0.00765,0.492615
39,subread,ERR013101,both3,0.6122,0.007645,0.566742
0,bowtie2,ERR009308,g,2.8946,0.007645,2.84508
1,bowtie2,ERR009308,rc,4.8544,0.003385,4.62229
2,bowtie2,ERR009308,sh1,4.9981,0.003287,4.52474
3,bowtie2,ERR009308,sh2,4.5836,0.003287,4.19878
4,bowtie2,ERR009308,sh3,4.9559,0.003287,4.50995
5,bowtie2,ERR009308,both1,4.7648,0.003287,4.60251
6,bowtie2,ERR009308,both2,4.6346,0.003287,4.46178
7,bowtie2,ERR009308,both3,4.1753,0.003287,4.10298
8,bowtie2,ERR009309,g,2.4639,0.003287,2.41452
9,bowtie2,ERR009309,rc,3.2964,0.003287,3.18809
10,bowtie2,ERR009309,sh1,2.3419,0.003287,2.27737
11,bowtie2,ERR009309,sh2,2.4003,0.003287,2.33548
12,bowtie2,ERR009309,sh3,2.5785,0.003287,2.45619
13,bowtie2,ERR009309,both1,3.8179,0.003287,3.50217
14,bowtie2,ERR009309,both2,3.5067,0.003287,3.36064
15,bowtie2,ERR009309,both3,4.4452,0.003287,4.37327
16,bowtie2,ERR009332,g,2.7485,0.003287,2.64506
17,bowtie2,ERR009332,rc,5.0984,0.003287,3.73414
18,bowtie2,ERR009332,sh1,2.6613,0.003383,2.61846
19,bowtie2,ERR009332,sh2,2.8755,0.003287,2.6757
20,bowtie2,ERR009332,sh3,2.7855,0.003287,2.69336
21,bowtie2,ERR009332,both1,4.3236,0.003287,3.85904
22,bowtie2,ERR009332,both2,4.1025,0.003287,3.82903
23,bowtie2,ERR009332,both3,4.0625,0.003287,3.77011
24,bowtie2,ERR009345,g,4.2497,0.003287,4.03839
25,bowtie2,ERR009345,rc,4.2497,0.003287,4.03839
26,bowtie2,ERR009345,sh1,4.2566,0.003287,4.10741
27,bowtie2,ERR009345,sh2,5.4507,0.003385,5.32343
28,bowtie2,ERR009345,sh3,4.1947,0.003383,4.0912
29,bowtie2,ERR009345,both1,6.1681,0.003383,5.85722
30,bowtie2,ERR009345,both2,6.6487,0.003287,6.38329
31,bowtie2,ERR009345,both3,6.6657,0.003287,6.12011
32,bowtie2,ERR013101,g,2.5927,0.003287,2.52506
33,bowtie2,ERR013101,rc,3.4148,0.003287,3.15948
34,bowtie2,ERR013101,sh1,2.5499,0.003287,2.50254
