,tool,sampID,repType,cpu,ram,utime
35,bowtie2,ERR013101,sh2,2.9182,0.003287,2.81996
36,bowtie2,ERR013101,sh3,2.8144,0.00339,2.73453
37,bowtie2,ERR013101,both1,3.6432,0.003397,3.35297
38,bowtie2,ERR013101,both2,3.5434,0.003287,3.30772
39,bowtie2,ERR013101,both3,3.0845,0.003287,3.00457
0,snap ,ERR009308,g,1.6303,0.003287,1.61005
1,snap ,ERR009308,rc,1.6002,0.044611,1.57914
2,snap ,ERR009308,sh1,1.6068,0.04452,1.59063
3,snap ,ERR009308,sh2,1.5904,0.044613,1.57924
4,snap ,ERR009308,sh3,1.3983,0.04458,1.36419
5,snap ,ERR009308,both1,1.6104,0.044596,1.59696
6,snap ,ERR009308,both2,1.6029,0.044583,1.5832
7,snap ,ERR009308,both3,1.6292,0.045697,1.61252
8,snap ,ERR009309,g,1.7473,0.045691,1.73532
9,snap ,ERR009309,rc,1.6298,0.045684,1.61278
10,snap ,ERR009309,sh1,1.6828,0.045693,1.67304
11,snap ,ERR009309,sh2,1.7368,0.045689,1.71939
12,snap ,ERR009309,sh3,1.5267,0.045689,1.5098
13,snap ,ERR009309,both1,1.6769,0.045692,1.6647
14,snap ,ERR009309,both2,1.6675,0.045686,1.6459
15,snap ,ERR009309,both3,1.5979,0.04569,1.58403
16,snap ,ERR009332,g,1.8549,0.0457,1.83743
17,snap ,ERR009332,rc,1.7402,0.045692,1.72211
18,snap ,ERR009332,sh1,1.8732,0.045726,1.85256
19,snap ,ERR009332,sh2,1.8466,0.045696,1.82881
20,snap ,ERR009332,sh3,1.8599,0.045698,1.83951
21,snap ,ERR009332,both1,1.5422,0.045692,1.5295
22,snap ,ERR009332,both2,1.5444,0.045698,1.53277
23,snap ,ERR009332,both3,1.5333,0.045688,1.51656
24,snap ,ERR009345,g,1.5751,0.041161,1.5487
25,snap ,ERR009345,rc,1.366,0.038128,1.3453
26,snap ,ERR009345,sh1,1.4843,0.041172,1.46645
27,snap ,ERR009345,sh2,1.4024,0.038142,1.38237
28,snap ,ERR009345,sh3,1.4351,0.045735,1.37447
29,snap ,ERR009345,both1,1.8001,0.038128,1.56758
30,snap ,ERR009345,both2,1.3774,0.038191,1.35047
31,snap ,ERR009345,both3,1.805,0.038124,1.57389
32,snap ,ERR013101,g,0.8135,0.045686,0.79737
33,snap ,ERR013101,rc,0.8007,0.045684,0.78563
34,snap ,ERR013101,sh1,0.7552,0.04569,0.74344
35,snap ,ERR013101,sh2,0.8058,0.045681,0.78901
36,snap ,ERR013101,sh3,0.8176,0.045688,0.80021
37,snap ,ERR013101,both1,0.7816,0.045683,0.7692
38,snap ,ERR013101,both2,0.788,0.045681,0.77196
39,snap ,ERR013101,both3,0.7768,0.045688,0.76536
0,minimap2,ERR009308,g,1.0424,0.011956,0.92055
1,minimap2,ERR009308,rc,1.5789,0.011956,1.42755
2,minimap2,ERR009308,sh1,1.3595,0.011956,1.20129
3,minimap2,ERR009308,sh2,0.9745,0.011956,0.85423
4,minimap2,ERR009308,sh3,2.05,0.011956,1.87438
5,minimap2,ERR009308,both1,1.496,0.011956,1.39943
6,minimap2,ERR009308,both2,1.55,0.011956,1.43233
7,minimap2,ERR009308,both3,0.8508,0.011956,0.7576
8,minimap2,ERR009309,g,1.5984,0.011956,1.42346
9,minimap2,ERR009309,rc,0.8943,0.011956,0.78806
10,minimap2,ERR009309,sh1,1.0354,0.011956,0.95035
11,minimap2,ERR009309,sh2,1.0576,0.011956,0.96041
12,minimap2,ERR009309,sh3,1.2952,0.011956,1.18104
13,minimap2,ERR009309,both1,1.2715,0.012144,1.16426
14,minimap2,ERR009309,both2,1.2678,0.012144,1.16245
15,minimap2,ERR009309,both3,0.9275,0.011956,0.83383
16,minimap2,ERR009332,g,0.8616,0.011956,0.79154
17,minimap2,ERR009332,rc,0.907,0.012019,0.82102
18,minimap2,ERR009332,sh1,0.947,0.011956,0.82963
19,minimap2,ERR009332,sh2,1.3926,0.011956,1.27347
20,minimap2,ERR009332,sh3,1.4235,0.011956,1.27948
21,minimap2,ERR009332,both1,1.4044,0.011956,1.27755
22,minimap2,ERR009332,both2,1.3354,0.011956,1.18546
23,minimap2,ERR009332,both3,1.3582,0.011956,1.2023
24,minimap2,ERR009345,g,1.3942,0.011956,1.2196
25,minimap2,ERR009345,rc,1.3252,0.011956,1.19319
26,minimap2,ERR009345,sh1,2.1385,0.011956,1.96178
27,minimap2,ERR009345,sh2,2.1386,0.011956,1.95003
28,minimap2,ERR009345,sh3,2.1387,0.011956,1.94455
29,minimap2,ERR009345,both1,1.4078,0.011956,1.26574
30,minimap2,ERR009345,both2,1.935,0.011768,1.81445
31,minimap2,ERR009345,both3,0.703,0.011956,0.64702
32,minimap2,ERR013101,g,1.1351,0.011768,1.03342
33,minimap2,ERR013101,rc,0.7679,0.011768,0.68022
34,minimap2,ERR013101,sh1,0.7545,0.011768,0.67328
35,minimap2,ERR013101,sh2,0.7807,0.011956,0.68395
36,minimap2,ERR013101,sh3,1.1825,0.011956,1.06292
37,minimap2,ERR013101,both1,1.4084,0.011957,1.29941
38,minimap2,ERR013101,both2,1.1444,0.011956,1.04046
39,minimap2,ERR013101,both3,0.9298,0.006304,0.84055
0,ngm,ERR009308,g,3.041,0.006304,3.04268
1,ngm,ERR009308,rc,3.054,0.006304,3.08275
2,ngm,ERR009308,sh1,2.905,0.006304,2.90514
3,ngm,ERR009308,sh2,2.955,0.006304,2.95419
4,ngm,ERR009308,sh3,3.109,0.006304,3.1089
5,ngm,ERR009308,both1,3.354,0.006304,3.35442
6,ngm,ERR009308,both2,3.536,0.006304,3.53606
7,ngm,ERR009308,both3,3.073,0.006304,3.07346
8,ngm,ERR009309,g,2.38,0.006304,2.38009
9,ngm,ERR009309,rc,2.463,0.006304,2.62951
10,ngm,ERR009309,sh1,1.912,0.006304,1.91247
11,ngm,ERR009309,sh2,2.484,0.006304,2.4832
12,ngm,ERR009309,sh3,2.737,0.006304,2.73669
13,ngm,ERR009309,both1,2.246,0.006304,2.24654
14,ngm,ERR009309,both2,2.182,0.006304,2.18254
15,ngm,ERR009309,both3,2.468,0.006304,2.46803
16,ngm,ERR009332,g,2.094,0.006304,2.09456
17,ngm,ERR009332,rc,2.682,0.006304,2.68283
18,ngm,ERR009332,sh1,2.104,0.006304,2.10325
19,ngm,ERR009332,sh2,2.648,0.006304,2.64867
20,ngm,ERR009332,sh3,3.11,0.006304,3.11054
21,ngm,ERR009332,both1,2.351,0.006304,2.35119
22,ngm,ERR009332,both2,2.667,0.006304,2.66749
23,ngm,ERR009332,both3,2.518,0.006304,2.52492
24,ngm,ERR009345,g,3.106,0.006304,3.10669
25,ngm,ERR009345,rc,3.134,0.006304,3.13425
26,ngm,ERR009345,sh1,3.148,0.006304,3.14752
27,ngm,ERR009345,sh2,3.227,0.006304,3.22747
28,ngm,ERR009345,sh3,2.758,0.006304,2.75839
29,ngm,ERR009345,both1,3.262,0.006304,3.26265
30,ngm,ERR009345,both2,3.028,0.006304,3.02893
31,ngm,ERR009345,both3,3.421,0.006304,3.42193
32,ngm,ERR013101,g,1.998,0.006304,1.99753
33,ngm,ERR013101,rc,2.081,0.006304,2.08108
34,ngm,ERR013101,sh1,1.977,0.006304,1.97684
35,ngm,ERR013101,sh2,2.08,0.006304,2.08036
36,ngm,ERR013101,sh3,2.301,0.006304,2.30116
37,ngm,ERR013101,both1,1.624,0.006304,1.62456
38,ngm,ERR013101,both2,2.047,0.006304,2.04753
39,ngm,ERR013101,both3,1.627,0.006304,1.62725
0,bwa2,ERR009308,g,2.816,0.018052,2.4052
1,bwa2,ERR009308,rc,2.545,0.01811,2.1783
2,bwa2,ERR009308,sh1,2.435,0.018052,2.136
3,bwa2,ERR009308,sh2,2.926,0.018048,2.5054
4,bwa2,ERR009308,sh3,3.114,0.01811,2.587
5,bwa2,ERR009308,both1,3.081,0.01811,2.5265
6,bwa2,ERR009308,both2,2.896,0.01811,2.3883
7,bwa2,ERR009308,both3,2.877,0.018173,2.3884
8,bwa2,ERR009309,g,2.475,0.018051,2.123
9,bwa2,ERR009309,rc,2.427,0.018133,2.0593
10,bwa2,ERR009309,sh1,2.573,0.018048,2.1793
11,bwa2,ERR009309,sh2,2.48,0.018048,2.1161
12,bwa2,ERR009309,sh3,2.529,0.018048,2.1298
13,bwa2,ERR009309,both1,2.348,0.018133,2.0066
14,bwa2,ERR009309,both2,2.404,0.017883,2.05
15,bwa2,ERR009309,both3,2.436,0.01811,2.0704
16,bwa2,ERR009332,g,2.64,0.018133,2.2564
17,bwa2,ERR009332,rc,2.508,0.01811,2.1384
18,bwa2,ERR009332,sh1,2.658,0.018052,2.2735
19,bwa2,ERR009332,sh2,2.63,0.018195,2.2537
20,bwa2,ERR009332,sh3,2.635,0.018048,2.2565
21,bwa2,ERR009332,both1,3.265,0.018133,2.8234
22,bwa2,ERR009332,both2,3.124,0.018195,2.7167
23,bwa2,ERR009332,both3,3.281,0.017827,2.7865
24,bwa2,ERR009345,g,3.741,0.018048,3.2032
25,bwa2,ERR009345,rc,3.59,0.018247,3.0905
26,bwa2,ERR009345,sh1,3.692,0.01807,3.1277
27,bwa2,ERR009345,sh2,3.733,0.01811,3.2195
28,bwa2,ERR009345,sh3,3.703,0.018048,3.1671
29,bwa2,ERR009345,both1,3.602,0.017985,3.1061
30,bwa2,ERR009345,both2,3.526,0.018048,3.0267
31,bwa2,ERR009345,both3,3.927,0.01811,3.3166
32,bwa2,ERR013101,g,1.69,0.017985,1.4316
33,bwa2,ERR013101,rc,2.092,0.017985,1.7832
34,bwa2,ERR013101,sh1,2.111,0.01811,1.8108
35,bwa2,ERR013101,sh2,2.057,0.017985,1.7596
36,bwa2,ERR013101,sh3,2.026,0.017985,1.736
37,bwa2,ERR013101,both1,2.138,0.017985,1.8122
38,bwa2,ERR013101,both2,2.064,0.017923,1.7691
39,bwa2,ERR013101,both3,2.112,0.017997,1.7843
0,smalt,ERR009308,g,2.25,0.003689,2.1804
1,smalt,ERR009308,rc,2.13,0.003689,2.0365
2,smalt,ERR009308,sh1,2.011,0.003689,1.892
3,smalt,ERR009308,sh2,2.03,0.003689,1.9615
4,smalt,ERR009308,sh3,1.372,0.003689,1.3408
5,smalt,ERR009308,both1,1.425,0.003689,1.3837
6,smalt,ERR009308,both2,1.958,0.003689,1.9094
7,smalt,ERR009308,both3,2.03,0.003689,1.9464
8,smalt,ERR009309,g,1.724,0.003688,1.679
9,smalt,ERR009309,rc,1.786,0.003688,1.7266
10,smalt,ERR009309,sh1,1.273,0.003688,1.2333
11,smalt,ERR009309,sh2,1.725,0.003688,1.6754
12,smalt,ERR009309,sh3,1.75,0.003688,1.6804
13,smalt,ERR009309,both1,1.31,0.003688,1.2617
14,smalt,ERR009309,both2,1.263,0.003688,1.2285
15,smalt,ERR009309,both3,1.228,0.003688,1.1892
16,smalt,ERR009332,g,1.33,0.003688,1.3021
17,smalt,ERR009332,rc,1.915,0.003688,1.8555
18,smalt,ERR009332,sh1,1.846,0.003688,1.7954
19,smalt,ERR009332,sh2,1.396,0.003688,1.3504
20,smalt,ERR009332,sh3,1.331,0.003688,1.2943
21,smalt,ERR009332,both1,1.919,0.003688,1.8324
22,smalt,ERR009332,both2,1.339,0.003688,1.3025
23,smalt,ERR009332,both3,1.374,0.003688,1.3364
24,smalt,ERR009345,g,2.267,0.003689,2.1966
25,smalt,ERR009345,rc,2.283,0.003689,2.2049
26,smalt,ERR009345,sh1,1.721,0.003689,1.6719
27,smalt,ERR009345,sh2,2.38,0.003689,2.286
28,smalt,ERR009345,sh3,1.727,0.003689,1.6735
29,smalt,ERR009345,both1,2.292,0.003689,2.2374
30,smalt,ERR009345,both2,2.333,0.003689,2.2676
31,smalt,ERR009345,both3,1.674,0.003689,1.6293
32,smalt,ERR013101,g,1.641,0.00369,1.5964
33,smalt,ERR013101,rc,1.685,0.00369,1.6185
34,smalt,ERR013101,sh1,1.8,0.003689,1.7488
35,smalt,ERR013101,sh2,1.608,0.003689,1.5299
36,smalt,ERR013101,sh3,1.804,0.003689,1.7544
37,smalt,ERR013101,both1,1.918,0.003689,1.8683
38,smalt,ERR013101,both2,1.809,0.003689,1.7606
39,smalt,ERR013101,both3,1.809,0.003689,1.7606
