FEATURE,READS,PERCENTAGE
Total_reads,11379245,100.0
Mapped_reads_type1,10631494,93.429
Mapped_reads_type2,10597260,93.128
Common_mapped_reads,10639790,93.502
Unambiguous_type1,10639790,100.0
Unambiguous_type2,10639790,100.0
Common_unambiguous,10639790,100.0
Inconsistent_type1,42530,0.4
Inconsistent_type2,8296,0.078
Identical,9929332,93.323
Consistent_global_inconsistent_local,585,0.005
Inconsistent_global,620722,5.834
Multi_mapped,38325,0.36
