FEATURE,READS,PERCENTAGE
Total_reads,13024918,100.0
Mapped_reads,12303426,94.461
Unambigous_type1,11811888,96.005
Unambigous_type2,11811926,96.005
Common_unambiguous,11792009,95.843
Inconsistent_type1,9271,0.079
Inconsistent_type2,9404,0.08
Identical,11544168,97.898
Consistent_global_inconsistent_local,244,0.002
Inconsistent_global,216930,1.84
Multi_mapped,11992,0.102
