FEATURE,READS,PERCENTAGE
Total_reads,12305191,100.0
Mapped_reads_type1,11554466,93.899
Mapped_reads_type2,11554466,93.899
Common_mapped_reads,11554466,93.899
Unambiguous_type1,11554466,100.0
Unambiguous_type2,11554466,100.0
Common_unambiguous,11554466,100.0
Inconsistent_type1,0,0.0
Inconsistent_type2,0,0.0
Identical,11554466,100.0
Consistent_global_inconsistent_local,0,0.0
Inconsistent_global,0,0.0
Multi_mapped,0,0.0
