FEATURE,READS,PERCENTAGE
FASTQ_reads,13024918,100.0
BAM_reads_type1,12172246,93.454
BAM_reads_type2,12171930,93.451
Common_reads,12134304,93.162
Mapped_reads_type1,10698849,82.141
Mapped_reads_type2,10698233,82.137
Common_unambiguous,10658199,81.829
Identical,10607074,99.52
Consistent_global_inconsistent_local,584,0.005
Inconsistent_global,18773,0.176
Hidden_multi_mapped,31768,0.298
