FEATURE,READS,PERCENTAGE
Total_reads,12118654,100.0
Mapped_reads,10627394,87.695
Unambigous_type1,10035003,94.426
Unambigous_type2,10035003,94.426
Common_unambiguous,10035003,94.426
Inconsistent_type1,0,0.0
Inconsistent_type2,0,0.0
Identical,10035003,100.0
Consistent_global_inconsistent_local,0,0.0
Inconsistent_global,0,0.0
Multi_mapped,0,0.0
