FEATURE,READS,PERCENTAGE
FASTQ_reads,17763608,100.0
BAM_reads_type1,17763608,100.0
BAM_reads_type2,17763608,100.0
Common_reads,17763608,100.0
Mapped_reads_type1,17534752,98.712
Mapped_reads_type2,17532093,98.697
Common_unambiguous,11995912,67.531
Identical,11756931,98.008
Consistent_global_inconsistent_local,71696,0.598
Inconsistent_global,140449,1.171
Hidden_multi_mapped,26836,0.224
