FEATURE,READS,PERCENTAGE
Total_FASTQ_reads,12118654,100.0
Total_BAM_reads,12118654,100.0
Mapped_reads,11950861,98.615
Mapped_reads_type1,11950861,98.615
Mapped_reads_type2,11950861,98.615
Unambiguous_type1,9621911,80.512
Unambiguous_type2,9621911,80.512
Common_unambiguous,9621911,80.512
Inconsistent_type1,0,0.0
Inconsistent_type2,0,0.0
Identical,9621911,100.0
Consistent_global_inconsistent_local,0,0.0
Inconsistent_global,0,0.0
Multi_mapped,0,0.0
