FEATURE,READS,PERCENTAGE
Total_FASTQ_reads,13024918,100.0
Total_BAM_reads,11200062,85.99
Mapped_reads,11171662,85.771
Mapped_reads_type1,11171566,85.771
Mapped_reads_type2,11171554,85.771
Unambiguous_type1,11171662,100.0
Unambiguous_type2,11171662,100.0
Common_unambiguous,11171662,100.0
Inconsistent_type1,108,0.001
Inconsistent_type2,96,0.001
Identical,10642574,95.264
Consistent_global_inconsistent_local,7717,0.069
Inconsistent_global,87109,0.78
Multi_mapped,434058,3.885
