FEATURE,READS,PERCENTAGE
Total_FASTQ_reads,12118654,100.0
Total_BAM_reads,10416003,85.95
Mapped_reads,10380013,85.653
Mapped_reads_type1,10379916,85.652
Mapped_reads_type2,10379876,85.652
Unambiguous_type1,10380013,100.0
Unambiguous_type2,10380013,100.0
Common_unambiguous,10380013,100.0
Inconsistent_type1,137,0.001
Inconsistent_type2,97,0.001
Identical,9982869,96.174
Consistent_global_inconsistent_local,7259,0.07
Inconsistent_global,82062,0.791
Multi_mapped,307589,2.963
