FEATURE,READS,PERCENTAGE
Total_reads,10416003,100.0
Mapped_reads,10380013,99.654
Unambigous_type1,10380013,100.0
Unambigous_type2,10380013,100.0
Common_unambiguous,10380013,100.0
Inconsistent_type1,137,0.001
Inconsistent_type2,97,0.001
Identical,9982869,96.174
Consistent_global_inconsistent_local,7259,0.07
Inconsistent_global,82062,0.791
Multi_mapped,307589,2.963
