FEATURE,READS,PERCENTAGE
Total_reads,12615236,100.0
Mapped_reads_type1,12577150,99.698
Mapped_reads_type2,12576942,99.696
Common_mapped_reads,12577241,99.699
Unambiguous_type1,12577241,100.0
Unambiguous_type2,12577241,100.0
Common_unambiguous,12577241,100.0
Inconsistent_type1,299,0.002
Inconsistent_type2,91,0.001
Identical,12001395,95.422
Consistent_global_inconsistent_local,8211,0.065
Inconsistent_global,88123,0.701
Multi_mapped,479122,3.809
