FEATURE,READS,PERCENTAGE
Total_reads,15506354,100.0
Mapped_reads_type1,15470112,99.766
Mapped_reads_type2,15470110,99.766
Common_mapped_reads,15470112,99.766
Unambiguous_type1,15470112,100.0
Unambiguous_type2,15470112,100.0
Common_unambiguous,15470112,100.0
Inconsistent_type1,2,0.0
Inconsistent_type2,0,0.0
Identical,14866081,96.095
Consistent_global_inconsistent_local,77,0.0
Inconsistent_global,19461,0.126
Multi_mapped,584491,3.778
