FEATURE,READS,PERCENTAGE
Total_reads,12038381,100.0
Mapped_reads_type1,12016097,99.815
Mapped_reads_type2,12016097,99.815
Common_mapped_reads,12016097,99.815
Unambiguous_type1,12016097,100.0
Unambiguous_type2,12016097,100.0
Common_unambiguous,12016097,100.0
Inconsistent_type1,0,0.0
Inconsistent_type2,0,0.0
Identical,12016097,100.0
Consistent_global_inconsistent_local,0,0.0
Inconsistent_global,0,0.0
Multi_mapped,0,0.0
