FEATURE,READS,PERCENTAGE
Total_FASTQ_reads,12118654,100.0
Total_BAM_reads,11023101,90.96
Mapped_reads,11011179,90.861
Mapped_reads_type1,11010910,90.859
Mapped_reads_type2,11010004,90.852
Unambiguous_type1,11011179,100.0
Unambiguous_type2,11011179,100.0
Common_unambiguous,11011179,100.0
Inconsistent_type1,1175,0.011
Inconsistent_type2,269,0.002
Identical,8811721,80.025
Consistent_global_inconsistent_local,483616,4.392
Inconsistent_global,1650212,14.987
Multi_mapped,64186,0.583
