FEATURE,READS,PERCENTAGE
Total_FASTQ_reads,17763608,100.0
Total_BAM_reads,16492166,92.842
Mapped_reads,16395636,92.299
Mapped_reads_type1,16395574,92.299
Mapped_reads_type2,16394047,92.29
Unambiguous_type1,16395636,100.0
Unambiguous_type2,16395636,100.0
Common_unambiguous,16395636,100.0
Inconsistent_type1,1589,0.01
Inconsistent_type2,62,0.0
Identical,15333190,93.52
Consistent_global_inconsistent_local,214072,1.306
Inconsistent_global,792889,4.836
Multi_mapped,53834,0.328
